"id","name","description","category","country","city","address","latitude","longitude","certifications","certification_details","capacity_value","capacity_unit","lead_time_days","website","contact_email","embedding_id","is_active","created_at","updated_at"
"000e47ad-39e7-4549-ae55-27ec5337fc1a","Amsterdam Chemicals Ltd.","Producer of specialty chemicals, solvents, and reagents for industrial and laboratory applications. Full REACH compliance and SDS documentation provided for all products.","chemicals","Netherlands","Amsterdam","195 Industriestraße, Amsterdam, Netherlands","52.270875","4.69037","[""REACH"", ""CE""]","{""REACH"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2026-08-28""}, ""CE"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2028-05-28""}}","5396","liters/month",21,"https://www.example-supplier-0582a361.com","procurement@example-b3da966b.com","000e47ad-39e7-4549-ae55-27ec5337fc1a",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"04e17e78-ab0a-4c0e-a37a-81272633365d","Brussels Chemicals Ltd.","Producer of specialty chemicals, solvents, and reagents for industrial and laboratory applications. Full REACH compliance and SDS documentation provided for all products.","chemicals","Belgium","Brussels","133 Industriestraße, Brussels, Belgium","50.897393","4.092643","[""ISO 9001"", ""ISO 14001"", ""ISO 45001""]","{""ISO 9001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2028-03-28""}, ""ISO 14001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2029-11-28""}, ""ISO 45001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2026-08-28""}}","5800","liters/month",59,"https://www.example-supplier-4d507d0e.com","procurement@example-f33fc9f8.com","04e17e78-ab0a-4c0e-a37a-81272633365d",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"05822af5-cd3e-4c92-b26b-9fb4b6de5d06","Bremen Packaging Ltd.","Manufacturer of cardboard, corrugated, and sustainable packaging for industrial and consumer goods. Custom design services available with FSC certified paper sourcing.","packaging","Germany","Bremen","200 Industriestraße, Bremen, Germany","52.903217","8.559754","[""ISO 9001"", ""ISO 27001"", ""RoHS"", ""ISO 22000""]","{""ISO 9001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2026-08-28""}, ""ISO 27001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2027-10-28""}, ""RoHS"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2028-08-28""}, ""ISO 22000"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2026-08-28""}}","454228","units/month",58,"https://www.example-supplier-2e1c4326.com","procurement@example-83529811.com","05822af5-cd3e-4c92-b26b-9fb4b6de5d06",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"097e20c2-6b40-432e-b4ce-ee1e1f3316f9","Stuttgart Electronics GmbH","Distributor and manufacturer of electronic components including PCBs, sensors, and microcontrollers. Serves automotive, industrial automation, and consumer electronics markets.","electronics","Germany","Stuttgart","16 Industriestraße, Stuttgart, Germany","48.556517","9.268837","[""ISO 9001"", ""REACH"", ""ISO 14001""]","{""ISO 9001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2028-02-28""}, ""REACH"": {""issuing_body"": ""SGS"", ""valid_until"": ""2027-04-28""}, ""ISO 14001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2029-03-28""}}","56296","units/month",30,"https://www.example-supplier-5d9edf15.com","procurement@example-72d723d5.com","097e20c2-6b40-432e-b4ce-ee1e1f3316f9",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"0cd55def-98ca-4bf8-a9d3-1588a43a68c6","Duesseldorf Electronics AG","Distributor and manufacturer of electronic components including PCBs, sensors, and microcontrollers. Serves automotive, industrial automation, and consumer electronics markets.","electronics","Germany","Düsseldorf","172 Industriestraße, Düsseldorf, Germany","51.264359","6.527412","[""RoHS"", ""IATF 16949"", ""ISO 45001""]","{""RoHS"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2027-05-28""}, ""IATF 16949"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-11-28""}, ""ISO 45001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2029-06-28""}}","99548","units/month",16,"https://www.example-supplier-d9cc88a8.com","procurement@example-a9fb1113.com","0cd55def-98ca-4bf8-a9d3-1588a43a68c6",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"11e17e66-3915-4a79-bea3-8e7ba95dbb94","Berlin Electronics AG","Distributor and manufacturer of electronic components including PCBs, sensors, and microcontrollers. Serves automotive, industrial automation, and consumer electronics markets.","electronics","Germany","Berlin","46 Industriestraße, Berlin, Germany","52.440907","13.437369","[""ISO 9001"", ""ISO 45001"", ""ISO 22000"", ""AS9100""]","{""ISO 9001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2026-03-28""}, ""ISO 45001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2029-11-28""}, ""ISO 22000"": {""issuing_body"": ""SGS"", ""valid_until"": ""2028-03-28""}, ""AS9100"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2029-01-28""}}","62694","units/month",35,"https://www.example-supplier-2bc0b028.com","procurement@example-f4c6c78f.com","11e17e66-3915-4a79-bea3-8e7ba95dbb94",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"1402f74a-4e32-4737-ae56-1f09942157dd","Berlin Software Services B.V.","Provider of enterprise software development, ERP integration, and digital transformation services. ISO 27001 certified information security management with 99.9% SLA.","software_services","Germany","Berlin","87 Industriestraße, Berlin, Germany","52.666757","13.532128","[""ISO 9001"", ""IATF 16949""]","{""ISO 9001"": {""issuing_body"": ""SGS"", ""valid_until"": ""2029-12-28""}, ""IATF 16949"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-03-28""}}","5","projects/month",65,"https://www.example-supplier-b7b0ff1f.com","procurement@example-8c73e3ae.com","1402f74a-4e32-4737-ae56-1f09942157dd",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"147165d6-e689-48c9-bb2d-b8ce3c542dec","Cologne Logistics B.V.","Full-service logistics provider offering road, rail, and multimodal freight solutions across Europe. Temperature-controlled and hazardous goods transport available.","logistics","Germany","Cologne","170 Industriestraße, Cologne, Germany","51.117357","7.176779","[""ISO 9001"", ""ISO 14001"", ""AS9100"", ""CE""]","{""ISO 9001"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2026-11-28""}, ""ISO 14001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-08-28""}, ""AS9100"": {""issuing_body"": ""SGS"", ""valid_until"": ""2026-05-28""}, ""CE"": {""issuing_body"": ""DNV"", ""valid_until"": ""2028-04-28""}}","475","shipments/day",48,"https://www.example-supplier-b186a485.com","procurement@example-3d97ca2f.com","147165d6-e689-48c9-bb2d-b8ce3c542dec",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"1541359a-bcd9-4a21-8883-fa9b1708a442","Rotterdam Packaging B.V.","Manufacturer of cardboard, corrugated, and sustainable packaging for industrial and consumer goods. Custom design services available with FSC certified paper sourcing.","packaging","Netherlands","Rotterdam","169 Industriestraße, Rotterdam, Netherlands","51.71623","4.358007","[""RoHS"", ""ISO 14001""]","{""RoHS"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2026-03-28""}, ""ISO 14001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2028-06-28""}}","194037","units/month",7,"https://www.example-supplier-141cadba.com","procurement@example-b37fa5cb.com","1541359a-bcd9-4a21-8883-fa9b1708a442",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"18300dba-b4e6-495b-80d1-0b4c79e1370c","Frankfurt Food Ingredients AG","Supplier of food-grade ingredients including flavor enhancers, stabilizers, and preservatives. HACCP certified and fully compliant with EU food law regulations.","food_ingredients","Germany","Frankfurt","153 Industriestraße, Frankfurt, Germany","50.020825","8.726824","[""CE"", ""AS9100""]","{""CE"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2028-09-28""}, ""AS9100"": {""issuing_body"": ""DNV"", ""valid_until"": ""2028-03-28""}}","17748","kg/month",18,"https://www.example-supplier-a4a7ef39.com","procurement@example-743b7955.com","18300dba-b4e6-495b-80d1-0b4c79e1370c",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
